index,published,extreme,topic,domain,language,valid,title,description,url,image,archive,content,en,de,la
9b2d5b4678781e53038e91ea5324530a," 05.30 … [+6023 chars]""","A canal in Glarus provides relief for “residents plunged into misery due to swamping”. The panorama illustrator and politician Hans Konrad Escher, together with the engineer Johann Gottfried Tulla, realized a massive construction undertaking for the 19th century.",Ein Kanal in Glarus schafft Abhilfe für «durch Versumpfung ins Elend gestürzte Bewohner». Der Panoramazeichner und Politiker Hans Konrad Escher realisierte zusammen mit dem Ingenieur Johann Gottfried Tulla ein für das 19. Jahrhundert gewaltiges Bauunternehmen.,"Canalis in Glarus levamen praebet pro ""residentibus in miseriam demersis ob paludem"". Panorama illustrator et politicus Hans Konrad Escher, una cum architecto Johann Gottfried Tulla, molem constructionis incepti saeculo XIX perspexit.",,,,,,,,,,,
60af764b28cca9f45aef88d0be27183f,2025-11-01T06:15:29Z,Storm,Mitigation,www.stern.de,de,0.4,Wetter: Allerheiligen startet mild – später folgen Regen und Sturm,"Ungewöhnlich warm, aber der Schein trügt: Nach mildem Start drohen am Wochenende kräftiger Regen und stürmische Böen. Was das Wetter im Südwesten sonst noch bringt.",https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/wetter--allerheiligen-startet-mild---spaeter-folgen-regen-und-sturm-36180160.html,https://image.stern.de/36180162/t/Ej/v1/w1440/r1.7778/-/01--wajkl3za42v5axs2048jpeg---7b15da83b6a8453a.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Ungewöhnlich warm, aber der Schein trügt: Nach mildem Start drohen am Wochenende kräftiger Regen und stürmische Böen. Was das Wetter im Südwesten… [+1692 chars]","Weather: All Saints' Day starts off mild - rain and storms later follow. Unusually warm, but appearances are deceiving: after a mild start, there is a risk of heavy rain and stormy gusts over the weekend. What else the weather in the southwest brings.","Wetter: Allerheiligen startet mild – später folgen Regen und Sturm. Ungewöhnlich warm, aber der Schein trügt: Nach mildem Start drohen am Wochenende kräftiger Regen und stürmische Böen. Was das Wetter im Südwesten sonst noch bringt.","Tempestas: Dies Omnium Sanctorum incipit mitis - pluviae et procellae postea sequuntur. Inusitato calent, sed fallunt apparentiae: post leve initium, periculum est gravis pluviae et procellae procellae super volutpat. Quid aliud tempestas in Africo fert."
92fdd9ed7fc1029c76eceb2734e87ef5,2025-11-01T06:15:29Z,Storm,Mitigation,www.zeit.de,de,0.4,Wetter: Allerheiligen startet mild – später folgen Regen und Sturm,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Allerheiligen startet mild – später folgen Regen und Sturm“.,https://www.zeit.de/news/2025-11/01/allerheiligen-startet-mild-spaeter-folgen-regen-und-sturm,https://img.zeit.de/news/2025-11/01/allerheiligen-startet-mild-spaeter-folgen-regen-und-sturm-image-group/wide__1300x731,http://web.archive.org/web/20251101063710/https://www.zeit.de/news/2025-11/01/allerheiligen-startet-mild-spaeter-folgen-regen-und-sturm,"Wer an Allerheiligen durch den Wald oder zum Friedhof stiefeln möchte, sollte sich am Vormittag auf den Weg machen - dem Deutschen Wetterdienst (DWD) zufolge startet der Samstag zunächst meist trocke… [+1512 chars]",Weather: All Saints' Day starts off mild - rain and storms later follow. Here you will find information on the topic of “weather”. Read “All Saints’ Day starts mildly – ​​rain and storms follow” now.,Wetter: Allerheiligen startet mild – später folgen Regen und Sturm. Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Allerheiligen startet mild – später folgen Regen und Sturm“.,"Tempestas: Dies Omnium Sanctorum incipit mitis - pluviae et procellae postea sequuntur. Hic informationes invenies in argumento ""tempestatis"". Lege ""Dies Omnium Sanctorum clementer incipit - pluviae et tempestates sequuntur"" nunc."
0a70004b3e61e60f525936cfcf771fe9,2025-11-01T08:47:15Z,Storm,Impacts,orf.at,de,0.9,Jamaika kämpft mit Folgen von „Melissa“,"Weil der verheerende Hurrikan „Melissa“ in Jamaika auch viele Spitäler beschädigt hat, plant die Regierung des karibischen Inselstaats in fünf westlichen Bezirken die Errichtung von Feldlazaretten. Auch Ärztinnen und Ärzte sowie Pflegekräfte, die teils am Lim…",https://orf.at/stories/3410219/,https://ibs.orf.at/news?image=https%3A%2F%2Fassets.orf.at%2Fmims%2F2025%2F44%2F08%2Fcrops%2Fw%3D1200%2Ch%3D630%2Cq%3D75%2F2819423_master_1088208_hurrikan_melissa_aerzte_r.jpg%3Fs%3De828ab00870967193596224e25d83deac58ac7e6,http://web.archive.org/web/20251101123429/https://orf.at/stories/3410219/,Tankstellen im Westen des Landes haben nach Angaben von Transportminister Daryl Vaz nur noch wenig oder gar keinen Kraftstoff mehr. Angesichts des Ausmaßes der Krise bemühen sich die Behörden mit Unt… [+2791 chars],"Jamaica is struggling with the consequences of “Melissa”. Because the devastating hurricane “Melissa” damaged many hospitals in Jamaica, the government of the Caribbean island state is planning to build field hospitals in five western districts. Doctors and nurses, some of whom are on the Lim...","Jamaika kämpft mit Folgen von „Melissa“. Weil der verheerende Hurrikan „Melissa“ in Jamaika auch viele Spitäler beschädigt hat, plant die Regierung des karibischen Inselstaats in fünf westlichen Bezirken die Errichtung von Feldlazaretten. Auch Ärztinnen und Ärzte sowie Pflegekräfte, die teils am Lim…","Iamaica luctat cum consectariis ""Melissa"". Quia vastitas turbinis ""Melissa"" multa hospitalia in Jamaica laesit, regimen insulae Caribbeae in quinque regionibus occidentalibus campum valetudinarium aedificare meditatur. Doctores et nutrices, quorum aliqui sunt in Lim..."
ccea3ee2510c1e2b7ce3712038615fda,2025-11-02T02:24:31Z,Storm,Impacts,www.stern.de,de,0.9,"Tödlicher Sturm ""Melissa"": Opferzahl nach Hurrikan-Katastrophe in Karibik steigt weiter","Wirbelsturm ""Melissa"" hat auf Jamaika verheerende Schäden angerichtet. Viele sind in Not: Hilfsgüter erreichen abgeschnittene Orte kaum, Nahrungsmittel werden knapp, Tausende Touristen sitzen fest.",https://www.stern.de/panorama/toedlicher-sturm--melissa---opferzahl-nach-hurrikan-katastrophe-in-karibik-steigt-weiter-36181318.html,https://image.stern.de/36181320/t/Jw/v1/w1440/r1.7778/-/02--nrpqytux6pv10axs2048jpeg---8d66b9e2e6f623ea.jpg,http://web.archive.org/web/20251102023708/https://www.stern.de/panorama/toedlicher-sturm--melissa---opferzahl-nach-hurrikan-katastrophe-in-karibik-steigt-weiter-36181318.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Wirbelsturm ""Melissa"" hat auf Jamaika verheerende Schäden angerichtet. Viele sind in Not: Hilfsgüter erreichen abgeschnittene Orte kaum, Nahrungs… [+2803 chars]","Deadly storm “Melissa”: The number of victims after hurricane catastrophe in the Caribbean continues to rise. Hurricane Melissa caused devastating damage in Jamaica. Many are in need: aid supplies barely reach cut-off places, food is becoming scarce, and thousands of tourists are stranded.","Tödlicher Sturm ""Melissa"": Opferzahl nach Hurrikan-Katastrophe in Karibik steigt weiter. Wirbelsturm ""Melissa"" hat auf Jamaika verheerende Schäden angerichtet. Viele sind in Not: Hilfsgüter erreichen abgeschnittene Orte kaum, Nahrungsmittel werden knapp, Tausende Touristen sitzen fest.","Tempestas mortifera ""Melissa"": numerus victimarum post calamitatem procellae in Caribbean oriri pergit. Procellae Melissa damnum in Jamaica vastare fecit. Multi egentes sunt: ​​commeatus commeatus vix abscissos locos attingunt, cibus vix fit, et mille peregrinatores destituti sunt."
f6ba03f2f69ab6874ec9795f6204bb48,2025-11-02T02:24:31Z,Storm,Impacts,www.zeit.de,de,0.9,"Tödlicher Sturm ""Melissa"": Opferzahl nach Hurrikan-Katastrophe in Karibik steigt weiter","Hier finden Sie Informationen zu dem Thema „Tödlicher Sturm ""Melissa""“. Lesen Sie jetzt „Opferzahl nach Hurrikan-Katastrophe in Karibik steigt weiter“.",https://www.zeit.de/news/2025-11/02/opferzahl-nach-hurrikan-katastrophe-in-karibik-steigt-weiter,https://img.zeit.de/news/2025-11/02/opferzahl-nach-hurrikan-katastrophe-in-karibik-steigt-weiter-image-group/wide__1300x731,http://web.archive.org/web/20251112005406/https://www.zeit.de/news/2025-11/02/opferzahl-nach-hurrikan-katastrophe-in-karibik-steigt-weiter,Der verheerende Hurrikan «Melissa» hat in der Karibik noch mehr Menschen in den Tod gerissen als bisher bekannt. Allein in Jamaika gibt es nach Regierungsangaben inzwischen 28 bestätigte Todesfälle. … [+2590 chars],Deadly storm “Melissa”: The number of victims after hurricane catastrophe in the Caribbean continues to rise. Here you will find information on the topic “Deadly Storm “Melissa””. Now read “The number of victims after hurricane disaster in the Caribbean continues to rise”.,"Tödlicher Sturm ""Melissa"": Opferzahl nach Hurrikan-Katastrophe in Karibik steigt weiter. Hier finden Sie Informationen zu dem Thema „Tödlicher Sturm ""Melissa""“. Lesen Sie jetzt „Opferzahl nach Hurrikan-Katastrophe in Karibik steigt weiter“.","Tempestas mortifera ""Melissa"": numerus victimarum post calamitatem procellae in Caribbean oriri pergit. Hic informationes invenies in argumento ""Festa Storm ""Melissa"". Nunc legitur ""numerus victimarum post calamitatem procellae in Caribbean oriri pergit""."
c565746fa6a6a50ee92f62a19f6c3253,2025-11-02T02:26:02Z,Storm,Impacts,www.tagesspiegel.de,de,0.1,Tödlicher Sturm „Melissa“: Opferzahl nach Hurrikan-Katastrophe in Karibik steigt weiter,"Wirbelsturm „Melissa“ hat auf Jamaika verheerende Schäden angerichtet. Viele sind in Not: Hilfsgüter erreichen abgeschnittene Orte kaum, Nahrungsmittel werden knapp, Tausende Touristen sitzen fest.",https://www.tagesspiegel.de/gesellschaft/panorama/todlicher-sturm-melissa-opferzahl-nach-hurrikan-katastrophe-in-karibik-steigt-weiter-14723807.html,https://www.tagesspiegel.de/images/14723804/alternates/BASE_16_9_W1400/1762050362000/hurrikan-melissa-jamaika.jpeg,,Der verheerende Hurrikan Melissa hat in der Karibik noch mehr Menschen in den Tod gerissen als bisher bekannt. Allein in Jamaika gibt es nach Regierungsangaben inzwischen 28 bestätigte Todesfälle. Zu… [+2640 chars],"Deadly storm “Melissa”: The number of victims after hurricane disaster in the Caribbean continues to rise. Hurricane Melissa caused devastating damage in Jamaica. Many are in need: aid supplies barely reach cut-off places, food is becoming scarce, and thousands of tourists are stranded.","Tödlicher Sturm „Melissa“: Opferzahl nach Hurrikan-Katastrophe in Karibik steigt weiter. Wirbelsturm „Melissa“ hat auf Jamaika verheerende Schäden angerichtet. Viele sind in Not: Hilfsgüter erreichen abgeschnittene Orte kaum, Nahrungsmittel werden knapp, Tausende Touristen sitzen fest.","Tempestas mortifera ""Melissa"": numerus victimarum post calamitatem procellae in Caribbean oriri pergit. Procellae Melissa damnum in Jamaica vastare fecit. Multi egentes sunt: ​​commeatus commeatus vix abscissos locos attingunt, cibus vix fit, et mille peregrinatores destituti sunt."
0d5878129e336a6dc09a01eeb5a94196,2025-11-02T07:03:03Z,Storm,Impacts,www.tagesschau.de,de,0.1,"Jamaika: Zahl der Toten nach Hurrikan ""Melissa"" gestiegen","Im Karibikstaat Jamaika ist die Zahl der Toten nach Hurrikan ""Melissa"" gestiegen. Einige Gebiete sind noch immer von der Außenwelt abgeschnitten. Auch Touristen sitzen weiter fest: Viele für gestern geplante Flüge fielen aus.",https://www.tagesschau.de/ausland/amerika/opferzahlen-hurrikan-melissa-100.html,https://images.tagesschau.de/image/64c18389-b75c-4db2-b830-9d9be34bfd2d/AAABmkNgZl0/AAABmgWmh8Q/16x9-big/melissa-hurrikan-jamaika-100.jpg?width=1280,http://web.archive.org/web/20251103075656/https://www.tagesschau.de/ausland/amerika/opferzahlen-hurrikan-melissa-100.html,"Stand: 02.11.2025 08:03 Uhr
Im Karibikstaat Jamaika ist die Zahl der Toten nach Hurrikan ""Melissa"" gestiegen. Einige Gebiete sind noch immer von der Außenwelt abgeschnitten. Auch Touristen sitzen we… [+4803 chars]",Jamaica: Number of deaths increased after Hurricane Melissa. The number of deaths after Hurricane Melissa has risen in the Caribbean state of Jamaica. Some areas are still cut off from the outside world. Tourists are also still stuck: many flights planned for yesterday were canceled.,"Jamaika: Zahl der Toten nach Hurrikan ""Melissa"" gestiegen. Im Karibikstaat Jamaika ist die Zahl der Toten nach Hurrikan ""Melissa"" gestiegen. Einige Gebiete sind noch immer von der Außenwelt abgeschnitten. Auch Touristen sitzen weiter fest: Viele für gestern geplante Flüge fielen aus.",Jamaica: Numerus funerum post Melissae Procellae auctus. Numerus funerum post Hurricane Melissa in statu Caribbeana Iamaicae orta est. Quibusdam locis ab exterioribus adhuc abscissis. Peregrinatores etiam adhuc haeserunt: plures volatus pro hesterno proposito surlati sunt.
492ac835d15c54d229e97cdf359c8a6c,2025-11-02T23:00:00Z,Storm,Impacts,versicherungswirtschaft-heute.de,de,0.1,"Verisk beziffert Schäden für Hurrikan Melissa auf bis zu 4,2 Milliarden Dollar","Hurrikan Melissa auf Jamaika hinterlässt neben heftigen Zerstörungen auch seine Spuren in der Assekuranz. Nach Schätzungen der Extreme Event Solutions Group des Analyseunternehmens Verisk belaufen sich die versicherten Schäden an Onshore-Immobilien auf 2,2 bi…",https://versicherungswirtschaft-heute.de/politik-und-regulierung/2025-11-03/verisk-beziffert-schaeden-fuer-hurrikan-melissa-auf-bis-zu-42-milliarden-dollar/,https://versicherungswirtschaft-heute.de/wp-60d20-content/uploads/2025/11/555593570-1200x800.jpg,http://web.archive.org/web/20251111074730/https://versicherungswirtschaft-heute.de/politik-und-regulierung/2025-11-03/verisk-beziffert-schaeden-fuer-hurrikan-melissa-auf-bis-zu-42-milliarden-dollar/,"Ein Konvoi mit Hilfsgütern für Black River, das vom Hurrikan Melissa heimgesucht wurde, fährt durch Holland Bamboo, Jamaika, wo umgestürzte Bäume und Trümmer die Straße teilweise blockieren.
Bildque… [+3639 chars]","Verisk estimates damage from Hurricane Melissa at up to $4.2 billion. In addition to severe destruction, Hurricane Melissa in Jamaica also left its mark on the insurance industry. According to estimates from the Extreme Event Solutions Group of the analysis company Verisk, insured losses to onshore properties amount to 2.2 to…","Verisk beziffert Schäden für Hurrikan Melissa auf bis zu 4,2 Milliarden Dollar. Hurrikan Melissa auf Jamaika hinterlässt neben heftigen Zerstörungen auch seine Spuren in der Assekuranz. Nach Schätzungen der Extreme Event Solutions Group des Analyseunternehmens Verisk belaufen sich die versicherten Schäden an Onshore-Immobilien auf 2,2 bi…","Verisk damnum ex Procellae Melissa aestimat usque ad $4.2 sescenti. Praeter gravem exitium, Hurricane Melissa in Jamaica etiam notam suam in assecurationis industria reliquit. Secundum aestimationes ab Extremi Event Solutiones Coetus analyseos societatis Verisk, reddebat damna proprietatum in terrain quantum ad 2.2 ad…"
46e8109e79f3beda6a23028db5e05c0e,2025-11-03T15:22:05Z,Storm,Impacts,www.sueddeutsche.de,de,1.0,Stürme und Unwetter: Wie gefährlich umstürzende Bäume für Züge sind,Am Kolumbusplatz ist nach einem Sturm jüngst ein Regionalexpress mit einem Baum kollidiert. Was unternimmt die Bahn gegen solche Unfälle? Und gibt es bessere Gegenmaßnahmen?,https://www.sueddeutsche.de/muenchen/muenchen-deutsche-bahn-s-bahn-sicherheit-unfaelle-sturm-baeume-li.3331533,https://www.sueddeutsche.de/2025/11/03/a0ac080d-86f0-4a44-8fee-0a4d489c54b5.jpg?q=60&fm=webp&width=1200&rect=0%2C209%2C4000%2C2250,,"Wie anfällig die Infrastruktur in Deutschland ist, zeigt sich Anfang Dezember vor nahezu zwei Jahren. Binnen weniger Stunden fällt in Oberbayern ein halber Meter Schnee. Weichen in München und dem Um… [+452 chars]",Storms and storms: How dangerous falling trees are for trains. A regional express recently collided with a tree at Columbus Square after a storm. What does the railway do about such accidents? And are there better countermeasures?,Stürme und Unwetter: Wie gefährlich umstürzende Bäume für Züge sind. Am Kolumbusplatz ist nach einem Sturm jüngst ein Regionalexpress mit einem Baum kollidiert. Was unternimmt die Bahn gegen solche Unfälle? Und gibt es bessere Gegenmaßnahmen?,Procellae et procellae: Quam periculosae arbores cadentes impedimenta sunt. Expressum regionale nuper impactum cum arbore in Columbo Quadratum post tempestatem. Quid facit balneas de talibus accidentibus? Et suntne meliores countermeasures?
